name,latitude,longitude,display_name,geocode_source,review_code,review_message
Downing Street,,,,missing,missing_coordinates,No coordinates found for 'Downing Street'.
Turaibil,,,,missing,missing_coordinates,No coordinates found for 'Turaibil'.
"Mission, British Columbia",,,,missing,missing_coordinates,"No coordinates found for 'Mission, British Columbia'."
Iranian coastline,,,,missing,missing_coordinates,No coordinates found for 'Iranian coastline'.
Iranian ports,,,,missing,missing_coordinates,No coordinates found for 'Iranian ports'.
school,,,,missing,missing_coordinates,No coordinates found for 'school'.
high-rise in Bahrain,,,,missing,missing_coordinates,No coordinates found for 'high-rise in Bahrain'.
Brisbane,,,,missing,missing_coordinates,No coordinates found for 'Brisbane'.
Abu Dhabi,,,,missing,missing_coordinates,No coordinates found for 'Abu Dhabi'.
RAF Fairford,,,,missing,missing_coordinates,No coordinates found for 'RAF Fairford'.
White House,,,,missing,missing_coordinates,No coordinates found for 'White House'.
Sri Lanka,,,,missing,missing_coordinates,No coordinates found for 'Sri Lanka'.
Dubai,,,,missing,missing_coordinates,No coordinates found for 'Dubai'.
Qatar,,,,missing,missing_coordinates,No coordinates found for 'Qatar'.
Kuwait,,,,missing,missing_coordinates,No coordinates found for 'Kuwait'.
Iraq,,,,missing,missing_coordinates,No coordinates found for 'Iraq'.
Bahrain,,,,missing,missing_coordinates,No coordinates found for 'Bahrain'.
Saudi Arabia,,,,missing,missing_coordinates,No coordinates found for 'Saudi Arabia'.
Israel,,,,missing,missing_coordinates,No coordinates found for 'Israel'.
Gold Coast,,,,missing,missing_coordinates,No coordinates found for 'Gold Coast'.
Igdir,,,,missing,missing_coordinates,No coordinates found for 'Igdir'.
Beit Awwa,,,,missing,missing_coordinates,No coordinates found for 'Beit Awwa'.
South Pars,,,,missing,missing_coordinates,No coordinates found for 'South Pars'.
Ras Laffan industrial area,,,,missing,missing_coordinates,No coordinates found for 'Ras Laffan industrial area'.
Haifa,,,,missing,missing_coordinates,No coordinates found for 'Haifa'.
Caspian Sea,,,,missing,missing_coordinates,No coordinates found for 'Caspian Sea'.
South Pars Gas Field,,,,missing,missing_coordinates,No coordinates found for 'South Pars Gas Field'.
Ras Laffan,,,,missing,missing_coordinates,No coordinates found for 'Ras Laffan'.
Iran,,,,missing,missing_coordinates,No coordinates found for 'Iran'.
Manchester,,,,missing,missing_coordinates,No coordinates found for 'Manchester'.
Ras Laffan industrial hub,,,,missing,missing_coordinates,No coordinates found for 'Ras Laffan industrial hub'.
Damavand,,,,missing,missing_coordinates,No coordinates found for 'Damavand'.
Gulf,,,,missing,missing_coordinates,No coordinates found for 'Gulf'.
Diego Garcia,,,,missing,missing_coordinates,No coordinates found for 'Diego Garcia'.
Chagos Islands,,,,missing,missing_coordinates,No coordinates found for 'Chagos Islands'.
Kharg Island,,,,missing,missing_coordinates,No coordinates found for 'Kharg Island'.
Cyprus,,,,missing,missing_coordinates,No coordinates found for 'Cyprus'.
Arad,,,,missing,missing_coordinates,No coordinates found for 'Arad'.
Dimona,,,,missing,missing_coordinates,No coordinates found for 'Dimona'.
Shimon Peres Negev Nuclear Research Center,,,,missing,missing_coordinates,No coordinates found for 'Shimon Peres Negev Nuclear Research Center'.
Natanz,,,,missing,missing_coordinates,No coordinates found for 'Natanz'.
Red Sea,,,,missing,missing_coordinates,No coordinates found for 'Red Sea'.
Minab,,,,missing,missing_coordinates,No coordinates found for 'Minab'.
Damavand power plant,,,,missing,missing_coordinates,No coordinates found for 'Damavand power plant'.
Qasmiye bridge,,,,missing,missing_coordinates,No coordinates found for 'Qasmiye bridge'.
Litani river,,,,missing,missing_coordinates,No coordinates found for 'Litani river'.
Ras Laffan Industrial City,,,,missing,missing_coordinates,No coordinates found for 'Ras Laffan Industrial City'.
Natanz nuclear facility,,,,missing,missing_coordinates,No coordinates found for 'Natanz nuclear facility'.
Lebanon,,,,missing,missing_coordinates,No coordinates found for 'Lebanon'.
Evin prison,,,,missing,missing_coordinates,No coordinates found for 'Evin prison'.
Kerman,,,,missing,missing_coordinates,No coordinates found for 'Kerman'.
Bushehr,,,,missing,missing_coordinates,No coordinates found for 'Bushehr'.
Geneva,,,,missing,missing_coordinates,No coordinates found for 'Geneva'.
Gloucestershire,,,,missing,missing_coordinates,No coordinates found for 'Gloucestershire'.
Solent,,,,missing,missing_coordinates,No coordinates found for 'Solent'.
Southampton,,,,missing,missing_coordinates,No coordinates found for 'Southampton'.
Down Ampney,,,,missing,missing_coordinates,No coordinates found for 'Down Ampney'.
